ResourceSpeciesID,ConsumerSpeciesID,Type,System
121,192,Feeding,BSQ
118,193,Feeding,BSQ
119,193,Feeding,BSQ
121,193,Feeding,BSQ
136,193,Feeding,BSQ
138,193,Feeding,BSQ
24,196,Feeding,BSQ
25,196,Feeding,BSQ
26,196,Feeding,BSQ
29,196,Feeding,BSQ
34,196,Feeding,BSQ
35,196,Feeding,BSQ
36,196,Feeding,BSQ
37,196,Feeding,BSQ
38,196,Feeding,BSQ
39,196,Feeding,BSQ
40,196,Feeding,BSQ
41,196,Feeding,BSQ
42,196,Feeding,BSQ
43,196,Feeding,BSQ
45,196,Feeding,BSQ
53,196,Feeding,BSQ
75,196,Feeding,BSQ
76,196,Feeding,BSQ
77,196,Feeding,BSQ
79,196,Feeding,BSQ
82,196,Feeding,BSQ
89,196,Feeding,BSQ
91,196,Feeding,BSQ
96,196,Feeding,BSQ
97,196,Feeding,BSQ
98,196,Feeding,BSQ
101,196,Feeding,BSQ
103,196,Feeding,BSQ
105,196,Feeding,BSQ
107,196,Feeding,BSQ
108,196,Feeding,BSQ
94,196,Feeding,BSQ
94,196,Feeding,BSQ
119,196,Feeding,BSQ
121,196,Feeding,BSQ
136,196,Feeding,BSQ
138,196,Feeding,BSQ
94,198,Feeding,BSQ
114,198,Feeding,BSQ
118,198,Feeding,BSQ
119,198,Feeding,BSQ
121,198,Feeding,BSQ
122,198,Feeding,BSQ
125,198,Feeding,BSQ
136,198,Feeding,BSQ
138,198,Feeding,BSQ
94,203,Feeding,BSQ
114,203,Feeding,BSQ
118,203,Feeding,BSQ
119,203,Feeding,BSQ
121,203,Feeding,BSQ
122,203,Feeding,BSQ
125,203,Feeding,BSQ
